rank|score|token_id|name|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style|link
4379|467.67400481816384|5054|Genesis Kami #5054|Blizzard|None|Gray|Pink gangsta|White lord|Gold ring 2|Angry|Green cyberpunk glasses|Black oppa|Angel ring|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5054
4380|467.6679998670297|3163|Genesis Kami #3163|Mahogany|None|White|Red aggressive|Red wizard|Silver skull|Smile|Danzo mekakushi houtai|White japan bangs|Black satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3163
4381|467.6445652434116|3493|Genesis Kami #3493|Seaweed|Katana 1|Cream|Sky blue good boy|Blue binbo|None|White rose|Houtai cheek left|Purple shonen|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3493
4382|467.58006772333243|3339|Genesis Kami #3339|Pine|Katana 1|Black|Yellow aggressive|Red white kimono|Silver ring 1|Smirk|Black kamen|White disheveled|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3339
4383|467.5028314600279|2590|Genesis Kami #2590|Seaweed|Spear|White|Sky blue strained|Brown turtle|Silver dot|Purple rose|Black pirate eyepatch|Brownish orange japan bangs|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2590
4384|467.48584542806486|2229|Genesis Kami #2229|Rosewood|Spear|Cream|Yellow grievous|Blue gangster suit|Silver double long right|Smile with teeth|Bandage cheek|Mint nippon|White devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2229
4385|467.42496842425334|528|Genesis Kami #528|Lavender|Gray scythe|Cream|Pink determined|Black gold pimp|Silver ring 3|Smile with teeth|Bandage nose|Mint shonen|Horror mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/528
4386|467.4046496117234|2467|Genesis Kami #2467|Fossil kase|Red scythe|Brown|Purple good boy|Purple wizard|White skull|Smile with teeth|None|Mint nippon|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2467
4387|467.3973400106485|1620|Genesis Kami #1620|Coin black red thunder|None|Cream|Red gentle|Black white kimono|Gold dot|Smile with teeth|Black mekakushi|Black harajuku|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1620
4388|467.3208754319302|2096|Genesis Kami #2096|Rosewood|Purple wand|Cream|Pink grievous|Black gold pimp|Silver double ring right 1|White rose|Blue cyberpunk glasses|Gold japan bangs|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2096
4389|467.30462409768546|4695|Genesis Kami #4695|Olive|Katana 2|Cream|Yellow strained|Yellow priest|Silver triple ring right|Mild smile|Gantai|Red ikemen|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4695
4390|467.085496376914|5177|Genesis Kami #5177|Porpoise fire fairy|None|Black|Green good boy|White black kimono|Silver ring 1|Angry|Mekakushi houtai|Mint shonen|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5177
4391|467.0303581524738|5000|Genesis Kami #5000|Porpoise|None|Cream|White gangsta|Black white kimono|White black fluffy|Mild smile|Houtai all|Black disheveled|Black kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5000
4392|466.94502454208896|3648|Genesis Kami #3648|Oat|None|Gray|Red strained|White red kimono|Silver ring 1|Smile with teeth|None|Purple shonen|Black baby dragon|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3648
4393|466.94417011211584|2699|Genesis Kami #2699|Porpoise|Silver berserker|White|Purple good boy|Red tribal|Silver spear|Gritted|Green cyberpunk glasses|Red oppa|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2699
4394|466.94332899597896|2758|Genesis Kami #2758|Coin|Purple scythe|Cream|Green strained|White father|Silver double ring right 2|Mild smile|Black pirate eyepatch|Brown under cut|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2758
4395|466.94320800098154|2278|Genesis Kami #2278|Fossil kase|None|Cream|Yellow angry eyes|Bondage pharoh|Gold double ring right 1|Blue gum|Houtai cheek & nose|Gold ikemen|Black kitsune ears|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2278
4396|466.94084234936446|443|Genesis Kami #443|Olive|Silver berserker|Black|Sky blue strained|Red father|Gold feather|Rose|Houtai nose|Red nippon|Horror mask|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/443
4397|466.9107606333252|22|Genesis Kami #22|Black fire|None|Brown|Purple determined|White wing angel|Gold chain|Mild smile|Green cyberpunk glasses|Gold harajuku|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/22
4398|466.90522972538304|2129|Genesis Kami #2129|Flint|None|White|Yellow strained|Gray turtle|Gold ring 1|Smile with teeth|Mekakushi houtai|Gray slick hair|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2129
4399|466.68740659274323|4871|Genesis Kami #4871|Silver|Purple wand|Cream|Sky blue aggressive|Black gold clown|Silver double long right|Smile|Gold opera kamen|Brown oppa|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4871
4400|466.6591378426965|5478|Genesis Kami #5478|Rosewood|Purple wand|White|Sky blue angry eyes|Red father|Silver double ring right 2|Gritted|Gold cyberpunk glasses|Gray shonen|Black satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5478
4401|466.6263149997077|231|Genesis Kami #231|Coin|Gray scythe|Cream|Yellow demon|Blue cyberpunk suit|Silver dot|Smile|Houtai nose|White shonen|Black satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/231
4402|466.61758463686476|4044|Genesis Kami #4044|Rosewood|None|Cream|White grievous|Purple turtle|Silver triple ring right|Smile with teeth|Black pirate eyepatch|Purple shonen|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4044
4403|466.58498445667834|107|Genesis Kami #107|Oat|None|White|Sky blue gangsta|Blue gangster suit|Gold ring 1|Cigar|Black pirate eyepatch|Mint nippon|Black baby dragon|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/107
4404|466.571148086962|4379|Genesis Kami #4379|Hickory|Purple wand|Cream|Sky blue gangsta|Gold lord|Silver ring 1|Smile with teeth|Bandage cheek|Gold disheveled|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4379
4405|466.53903431094665|2241|Genesis Kami #2241|Blush|Red wand|White|White angry eyes|Purple lord|Gold short long|Haha|Black opera kamen|Red oppa|Black devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2241
4406|466.3940421523627|1704|Genesis Kami #1704|Porpoise|Gray scythe|White|Green satan|Purple lord|None|Smile|Black danzo mekakushi|Purple japan bangs|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1704
4407|466.3264184495924|562|Genesis Kami #562|Coin|Silver berserker|White|Black grievous|Red wizard|Gold chain|Blue gum|Gold cyberpunk glasses|Mint oppa|Gold red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/562
4408|466.27531052394835|1355|Genesis Kami #1355|Lead fire fairy|Gray scythe|White|Pink angry eyes|Red white clown|Gold ring 2|Smile with teeth|Black pirate eyepatch|Red disheveled|Angel ring|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1355
4409|466.08580067421923|5218|Genesis Kami #5218|Coin|Silver berserker|Cream|Pink strained|Red father|Silver triple ring right|Cigar|White opera kamen|Mint slick hair|Gold satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5218
4410|466.07264449126336|2782|Genesis Kami #2782|Wood|Brush|Cream|White grievous|Red onmyoji|Black white fluffy|Neutral|None|Red oppa|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2782
4411|466.0094727601714|3172|Genesis Kami #3172|Coin|Red scythe|Cream|Pink angry eyes|Pharoh|Gold dot|Smirk|White opera kamen|Gray long hair|Black minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3172
4412|465.99793207507633|1031|Genesis Kami #1031|Umber|None|Cream|Yellow angry eyes|Gray bondage|Silver double ring right 1|Gritted|Red mekakushi|White oppa|White baby cat|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1031
4413|465.9686443601219|5140|Genesis Kami #5140|Pewter|Katana 1|Black|Pink gangsta|Gold kimono|Gold spear|Smirk|Houtai nose|Red harajuku|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5140
4414|465.93794298247144|5391|Genesis Kami #5391|Hickory|Katana 1|Brown|Green strained|Red onmyoji|None|Neutral|Ninja mask|White ikemen|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5391
4415|465.88501368260063|3265|Genesis Kami #3265|Hazelnut|Gold berserker|White|Yellow demon|Red father|Gold feather|Smile with teeth|Houtai cheek & nose|Brownish orange japan bangs|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3265
4416|465.6695976083624|2640|Genesis Kami #2640|Hickory|Purple scythe|White|White strained|Red cyberpunk suit|Gold short long|Smile|Red cyberpunk glasses|Black slick hair|Black kitsune ears|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2640
4417|465.61813633364255|566|Genesis Kami #566|Coin black red thunder|Katana 2|Brown|Purple angry eyes|White ninja|None|Mild smile|None|Mint ikemen|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/566
4418|465.60770168262246|5427|Genesis Kami #5427|Rosewood|None|Black|Black determined|Red father|Silver four ring right|Pink gum|Bandage nose|Gold harajuku|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5427
4419|465.5781198918137|617|Genesis Kami #617|Blizzard night|Purple wand|Cream|Pink gentle|Blue cyberpunk suit|White feather|Blue gum|Black mekakushi|Gray oppa|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/617
4420|465.52434692926744|3576|Genesis Kami #3576|Seaweed|Katana 2|Cream|Black determined|Purple ninja|None|Smile|Houtai cheek left|Gray japan bangs|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3576
4421|465.465714061635|3408|Genesis Kami #3408|Pine|None|Cream|White cold|Blue gangster suit|Gold spear|Haha|Rimless|Purple disheveled|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3408
4422|465.46489962368383|4822|Genesis Kami #4822|Pine|Red scythe|Brown|Green cold|White father|Gold feather|Green gum|Houtai nose|Brown shonen|Horror mask|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4822
4423|465.45608221762814|890|Genesis Kami #890|Flint|Gray scythe|White|Sky blue good boy|Bondage pharoh|Gold double ring right 2|Smirk|Danzo mekakushi houtai|Mint slick hair|Black satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/890
4424|465.3599640765878|4832|Genesis Kami #4832|Mahogany|None|Brown|Red demon|Purple wizard|Silver triple ring right|Smile with teeth|Gold opera kamen|Red long hair|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4832
4425|465.30803843245104|151|Genesis Kami #151|Flint|Spear|White|Sky blue aggressive|Gray bondage|Gold triple ring right|Black rose|Houtai cheek left|Mint nippon|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/151
4426|465.2404737024216|799|Genesis Kami #799|Rosewood|None|Cream|Gray demon|Red turtle|Gold double ring right 1|Smile|Mekakushi houtai|Brown ikemen|Black kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/799
4427|465.1615019962477|2887|Genesis Kami #2887|Olive|Red wand|White|Green grievous|Black gold clown|Silver short long|Smile|Houtai nose|Brown slick hair|Black baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2887
4428|465.12670773989464|3104|Genesis Kami #3104|Seaweed|None|Black|Green good boy|White cape|Gold ring 2|Black rose|Round glasses small|Gray shonen|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3104
4429|465.056800353505|280|Genesis Kami #280|Sky|None|Cream|Purple cold|Red white clown|Gold ring 1|Neutral|Bandage cheek & nose|Brown long hair|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/280
4430|465.00599832887946|952|Genesis Kami #952|Mahogany|Brush|Cream|White gentle|Black white purple kimono|Gold short long|Knife|Black pirate eyepatch|Mint harajuku|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/952
4431|464.99205112474704|4152|Genesis Kami #4152|Hazelnut|Spear|Cream|Green cold|Gold kimono|Gold double ring right 1|Haha|Houtai cheek & nose|Gray harajuku|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4152
4432|464.9525559449846|4753|Genesis Kami #4753|Seaweed|None|White|Sky blue cold|Black white clown|White skull|Smile with teeth|White opera kamen|White nippon|Silver red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4753
4433|464.9374845764902|1635|Genesis Kami #1635|Rosewood|Berserker blade|Cream|Red gentle|Gold kimono|Silver triple ring right|Smile|Houtai all|Gray long hair|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1635
4434|464.93512019817257|4568|Genesis Kami #4568|Sky|None|White|Purple cold|Red wizard|Silver double long right|Purple rose|Blue cyberpunk glasses|Gold japan bangs|Gold satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4568
4435|464.92399934070295|4643|Genesis Kami #4643|Silver|None|Gray|Green grievous|Gold lord|Silver triple ring right|White rose|Black pirate eyepatch|Brown ikemen|Silver purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4643
4436|464.7812500462099|4987|Genesis Kami #4987|Teal kase|Katana 1|Cream|Sky blue aggressive|Blue binbo|Gold short long|Haha|Round glasses big|Red oppa|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4987
4437|464.680308268699|272|Genesis Kami #272|Olive|Brush|Titanium|Yellow angry eyes|Black white kimono|Black white fluffy|Blue gum|None|Mint oppa|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/272
4438|464.62240631708073|4989|Genesis Kami #4989|Colud blue kaminari|None|Black|Green gangsta|Green kimono|Silver double long right|Smile|Houtai cheek left|Brown slick hair|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4989
4439|464.4632236935294|677|Genesis Kami #677|Fossil red fire ghost|None|White|Red satan|Black ronin|None|Mild smile|Rimless|Mint nippon|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/677
4440|464.4571887693549|1065|Genesis Kami #1065|Hazelnut|None|Cream|Green grievous|White wing angel|Gold chain|Smile|Red mekakushi|Brownish orange slick hair|White devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1065
4441|464.42219353473854|1833|Genesis Kami #1833|Flint black purple thunder|Purple wand|Cream|White cold|Orange tribal|Silver ring 1|Black rose|None|Black ikemen|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1833
4442|464.3507271955985|4148|Genesis Kami #4148|Lavender|Shikigami|White|Pink strained|Red bondage|Silver four ring right|Knife|None|Mint oppa|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4148
4443|464.3469087953531|4981|Genesis Kami #4981|Sandstone maple leaf|Katana 2|Cream|Black angry eyes|Red fur|None|Haha|None|Brown slick hair|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4981
4444|464.2076623015279|4572|Genesis Kami #4572|Porpoise white red|Berserker blade|Cream|Green gentle|White onmyoji|None|Haha|Houtai cheek & nose|Brownish orange nippon|Angel ring|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4572
4445|464.1398626967019|2585|Genesis Kami #2585|Olive|Purple scythe|Cream|Gray demon|Red white clown|Silver double long right|Blue rose|None|Brownish orange slick hair|Gold baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2585
4446|464.1356334311861|2476|Genesis Kami #2476|Rosewood|Gray scythe|Titanium|Purple angry eyes|Red tribal|Black spear|Smile|Black opera kamen|Gold ikemen|Horror mask|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2476
4447|464.10883540415074|3878|Genesis Kami #3878|Flint|None|White|Red gentle|White black kimono|Gold dot|Smile with teeth|Red mekakushi|Mint harajuku|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3878
4448|463.99765223049616|2958|Genesis Kami #2958|Shadow|None|Titanium|Pink cold|Purple lord|Gold double ring right 1|Smile|Houtai cheek & nose|Brown japan bangs|Gold satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2958
4449|463.97738500809174|3118|Genesis Kami #3118|Pine|Katana 1|White|Yellow strained|Gray bondage|Silver dot|Rose|Round glasses small|Gold disheveled|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3118
4450|463.97243687380234|3300|Genesis Kami #3300|Lead earth fairy|Purple scythe|White|White strained|Red father|Gold double ring right 2|Smirk|Houtai nose|Black nippon|Gold red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3300
4451|463.9416965696472|5230|Genesis Kami #5230|Sky|Purple wand|White|Green aggressive|Red tribal|Gold double ring right 1|Neutral|Danzo mekakushi houtai|Brownish orange disheveled|Black minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5230
4452|463.9408272311931|3091|Genesis Kami #3091|Olive|Purple scythe|Gray|White good boy|Bondage pharoh|Gold double ring right 1|Smile|Black danzo mekakushi|Red slick hair|Black satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3091
4453|463.8529262569107|3387|Genesis Kami #3387|Seaweed|Katana 2|Cream|Purple strained|Black white purple kimono|Gold ring 2|Blue rose|Gantai|Gray ikemen|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3387
